modelId,downloads,likes,license,tags,keywords_found,readme_length,url
jonatasgrosman/wav2vec2-large-xlsr-53-polish,2874347,11,apache-2.0,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'mozilla-foundation/common_voice_6_0', 'pl', 'robust-speech-event', 'speech', 'xlsr-fine-tuning-week', 'dataset:common_voice', 'dataset:mozilla-foundation/common_voice_6_0', 'doi:10.57967/hf/3574', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us', 'deploy:azure']",['robust'],1409,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-polish
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,2573570,19,apache-2.0,"['sentence-transformers', 'pytorch', 'safetensors', 'distilbert', 'fill-mask', 'learned sparse', 'opensearch', 'transformers', 'retrieval', 'passage-retrieval', 'document-expansion', 'bag-of-words', 'sparse-encoder', 'sparse', 'asymmetric', 'inference-free', 'splade', 'feature-extraction', 'en', 'arxiv:2411.04403', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",['eval'],309,https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill
mpoyraz/wav2vec2-xls-r-300m-cv7-turkish,2352833,13,cc-by-4.0,"['transformers', 'pytorch', 'wav2vec2', 'automatic-speech-recognition', 'hf-asr-leaderboard', 'mozilla-foundation/common_voice_7_0', 'robust-speech-event', 'tr', 'dataset:mozilla-foundation/common_voice_7_0', 'license:cc-by-4.0', 'model-index', 'endpoints_compatible', 'region:us']","['robust', 'eval']",1330,https://huggingface.co/mpoyraz/wav2vec2-xls-r-300m-cv7-turkish
intfloat/multilingual-e5-small,2111954,247,mit,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'openvino', 'bert', 'mteb', 'Sentence Transformers', 'sentence-similarity', 'multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh', 'arxiv:2402.05672', 'arxiv:2108.08787', 'arxiv:2104.08663', 'arxiv:2210.07316', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",['eval'],601915,https://huggingface.co/intfloat/multilingual-e5-small
mixedbread-ai/mxbai-embed-large-v1,2083438,742,apache-2.0,"['sentence-transformers', 'onnx', 'safetensors', 'openvino', 'gguf', 'bert', 'feature-extraction', 'mteb', 'transformers.js', 'transformers', 'en', 'arxiv:2309.12871', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",['eval'],81999,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
intfloat/multilingual-e5-base,1768782,316,mit,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'openvino', 'xlm-roberta', 'mteb', 'Sentence Transformers', 'sentence-similarity', 'multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh', 'arxiv:2402.05672', 'arxiv:2108.08787', 'arxiv:2104.08663', 'arxiv:2210.07316', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",['eval'],206408,https://huggingface.co/intfloat/multilingual-e5-base
nomic-ai/nomic-embed-text-v1.5,1747265,734,apache-2.0,"['sentence-transformers', 'onnx', 'safetensors', 'nomic_bert', 'feature-extraction', 'sentence-similarity', 'mteb', 'transformers', 'transformers.js', 'custom_code', 'en', 'arxiv:2402.01613', 'arxiv:2205.13147', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",['eval'],81749,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
Snowflake/snowflake-arctic-embed-l-v2.0,1708431,218,apache-2.0,"['sentence-transformers', 'onnx', 'safetensors', 'xlm-roberta', 'feature-extraction', 'sentence-similarity', 'mteb', 'arctic', 'snowflake-arctic-embed', 'transformers.js', 'af', 'ar', 'az', 'be', 'bg', 'bn', 'ca', 'ceb', 'cs', 'cy', 'da', 'de', 'el', 'en', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'gl', 'gu', 'he', 'hi', 'hr', 'ht', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ky', 'lo', 'lt', 'lv', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'pa', 'pl', 'pt', 'qu', 'ro', 'ru', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'uk', 'ur', 'vi', 'yo', 'zh', 'arxiv:2412.04506', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",['eval'],332661,https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0
vidore/colqwen2.5-v0.2,1656165,86,mit,"['colpali', 'safetensors', 'vidore', 'vidore-experimental', 'visual-document-retrieval', 'en', 'arxiv:2004.12832', 'arxiv:2407.01449', 'arxiv:2106.09685', 'base_model:vidore/colqwen2.5-base', 'base_model:finetune:vidore/colqwen2.5-base', 'license:mit', 'region:us']",['eval'],171,https://huggingface.co/vidore/colqwen2.5-v0.2
intfloat/e5-base-v2,1643055,142,mit,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'openvino', 'bert', 'mteb', 'Sentence Transformers', 'sentence-similarity', 'en', 'arxiv:2212.03533', 'arxiv:2104.08663', 'arxiv:2210.07316', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",['eval'],81840,https://huggingface.co/intfloat/e5-base-v2
Alibaba-NLP/gte-multilingual-base,1629213,334,apache-2.0,"['sentence-transformers', 'safetensors', 'new', 'feature-extraction', 'mteb', 'transformers', 'multilingual', 'sentence-similarity', 'text-embeddings-inference', 'custom_code', 'af', 'ar', 'az', 'be', 'bg', 'bn', 'ca', 'ceb', 'cs', 'cy', 'da', 'de', 'el', 'en', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'gl', 'gu', 'he', 'hi', 'hr', 'ht', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ky', 'lo', 'lt', 'lv', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'pa', 'pl', 'pt', 'qu', 'ro', 'ru', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'uk', 'ur', 'vi', 'yo', 'zh', 'arxiv:2407.19669', 'arxiv:2210.09984', 'arxiv:2402.03216', 'arxiv:2007.15207', 'arxiv:2104.08663', 'arxiv:2402.07440', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us', 'deploy:azure']",['eval'],124017,https://huggingface.co/Alibaba-NLP/gte-multilingual-base
WhereIsAI/UAE-Large-V1,1375544,237,mit,"['sentence-transformers', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'mteb', 'sentence_embedding', 'feature_extraction', 'transformers', 'transformers.js', 'en', 'arxiv:2309.12871', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",['eval'],82121,https://huggingface.co/WhereIsAI/UAE-Large-V1
intfloat/multilingual-e5-large-instruct,1259832,581,mit,"['sentence-transformers', 'onnx', 'safetensors', 'xlm-roberta', 'feature-extraction', 'mteb', 'transformers', 'multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh', 'arxiv:2402.05672', 'arxiv:2401.00368', 'arxiv:2104.08663', 'arxiv:2210.07316', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",['eval'],161761,https://huggingface.co/intfloat/multilingual-e5-large-instruct
answerdotai/answerai-colbert-small-v1,1182141,155,apache-2.0,"['onnx', 'safetensors', 'bert', 'ColBERT', 'RAGatouille', 'passage-retrieval', 'en', 'arxiv:2407.20750', 'license:apache-2.0', 'region:us']",['eval'],84,https://huggingface.co/answerdotai/answerai-colbert-small-v1
OpenMed/OpenMed-NER-PharmaDetect-SuperClinical-434M,1060337,19,apache-2.0,"['transformers', 'safetensors', 'deberta-v2', 'token-classification', 'named-entity-recognition', 'biomedical-nlp', 'chemical-entity-recognition', 'drug-discovery', 'pharmacology', 'biocuration', 'chem', 'en', 'arxiv:2508.01630', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",['eval'],613,https://huggingface.co/OpenMed/OpenMed-NER-PharmaDetect-SuperClinical-434M
sileod/deberta-v3-base-tasksource-nli,1036535,131,apache-2.0,"['transformers', 'pytorch', 'safetensors', 'deberta-v2', 'text-classification', 'deberta-v3-base', 'deberta-v3', 'deberta', 'nli', 'natural-language-inference', 'multitask', 'multi-task', 'pipeline', 'extreme-multi-task', 'extreme-mtl', 'tasksource', 'zero-shot', 'rlhf', 'zero-shot-classification', 'en', 'dataset:glue', 'dataset:nyu-mll/multi_nli', 'dataset:multi_nli', 'dataset:super_glue', 'dataset:anli', 'dataset:tasksource/babi_nli', 'dataset:sick', 'dataset:snli', 'dataset:scitail', 'dataset:OpenAssistant/oasst1', 'dataset:universal_dependencies', 'dataset:hans', 'dataset:qbao775/PARARULE-Plus', 'dataset:alisawuffles/WANLI', 'dataset:metaeval/recast', 'dataset:sileod/probability_words_nli', 'dataset:joey234/nan-nli', 'dataset:pietrolesci/nli_fever', 'dataset:pietrolesci/breaking_nli', 'dataset:pietrolesci/conj_nli', 'dataset:pietrolesci/fracas', 'dataset:pietrolesci/dialogue_nli', 'dataset:pietrolesci/mpe', 'dataset:pietrolesci/dnc', 'dataset:pietrolesci/gpt3_nli', 'dataset:pietrolesci/recast_white', 'dataset:pietrolesci/joci', 'dataset:martn-nguyen/contrast_nli', 'dataset:pietrolesci/robust_nli', 'dataset:pietrolesci/robust_nli_is_sd', 'dataset:pietrolesci/robust_nli_li_ts', 'dataset:pietrolesci/gen_debiased_nli', 'dataset:pietrolesci/add_one_rte', 'dataset:metaeval/imppres', 'dataset:pietrolesci/glue_diagnostics', 'dataset:hlgd', 'dataset:PolyAI/banking77', 'dataset:paws', 'dataset:quora', 'dataset:medical_questions_pairs', 'dataset:conll2003', 'dataset:nlpaueb/finer-139', 'dataset:Anthropic/hh-rlhf', 'dataset:Anthropic/model-written-evals', 'dataset:truthful_qa', 'dataset:nightingal3/fig-qa', 'dataset:tasksource/bigbench', 'dataset:blimp', 'dataset:cos_e', 'dataset:cosmos_qa', 'dataset:dream', 'dataset:openbookqa', 'dataset:qasc', 'dataset:quartz', 'dataset:quail', 'dataset:head_qa', 'dataset:sciq', 'dataset:social_i_qa', 'dataset:wiki_hop', 'dataset:wiqa', 'dataset:piqa', 'dataset:hellaswag', 'dataset:pkavumba/balanced-copa', 'dataset:12ml/e-CARE', 'dataset:art', 'dataset:tasksource/mmlu', 'dataset:winogrande', 'dataset:codah', 'dataset:ai2_arc', 'dataset:definite_pronoun_resolution', 'dataset:swag', 'dataset:math_qa', 'dataset:metaeval/utilitarianism', 'dataset:mteb/amazon_counterfactual', 'dataset:SetFit/insincere-questions', 'dataset:SetFit/toxic_conversations', 'dataset:turingbench/TuringBench', 'dataset:trec', 'dataset:tals/vitaminc', 'dataset:hope_edi', 'dataset:strombergnlp/rumoureval_2019', 'dataset:ethos', 'dataset:tweet_eval', 'dataset:discovery', 'dataset:pragmeval', 'dataset:silicone', 'dataset:lex_glue', 'dataset:papluca/language-identification', 'dataset:imdb', 'dataset:rotten_tomatoes', 'dataset:ag_news', 'dataset:yelp_review_full', 'dataset:financial_phrasebank', 'dataset:poem_sentiment', 'dataset:dbpedia_14', 'dataset:amazon_polarity', 'dataset:app_reviews', 'dataset:hate_speech18', 'dataset:sms_spam', 'dataset:humicroedit', 'dataset:snips_built_in_intents', 'dataset:banking77', 'dataset:hate_speech_offensive', 'dataset:yahoo_answers_topics', 'dataset:pacovaldez/stackoverflow-questions', 'dataset:zapsdcn/hyperpartisan_news', 'dataset:zapsdcn/sciie', 'dataset:zapsdcn/citation_intent', 'dataset:go_emotions', 'dataset:allenai/scicite', 'dataset:liar', 'dataset:relbert/lexical_relation_classification', 'dataset:metaeval/linguisticprobing', 'dataset:tasksource/crowdflower', 'dataset:metaeval/ethics', 'dataset:emo', 'dataset:google_wellformed_query', 'dataset:tweets_hate_speech_detection', 'dataset:has_part', 'dataset:wnut_17', 'dataset:ncbi_disease', 'dataset:acronym_identification', 'dataset:jnlpba', 'dataset:species_800', 'dataset:SpeedOfMagic/ontonotes_english', 'dataset:blog_authorship_corpus', 'dataset:launch/open_question_type', 'dataset:health_fact', 'dataset:commonsense_qa', 'dataset:mc_taco', 'dataset:ade_corpus_v2', 'dataset:prajjwal1/discosense', 'dataset:circa', 'dataset:PiC/phrase_similarity', 'dataset:copenlu/scientific-exaggeration-detection', 'dataset:quarel', 'dataset:mwong/fever-evidence-related', 'dataset:numer_sense', 'dataset:dynabench/dynasent', 'dataset:raquiba/Sarcasm_News_Headline', 'dataset:sem_eval_2010_task_8', 'dataset:demo-org/auditor_review', 'dataset:medmcqa', 'dataset:aqua_rat', 'dataset:RuyuanWan/Dynasent_Disagreement', 'dataset:RuyuanWan/Politeness_Disagreement', 'dataset:RuyuanWan/SBIC_Disagreement', 'dataset:RuyuanWan/SChem_Disagreement', 'dataset:RuyuanWan/Dilemmas_Disagreement', 'dataset:lucasmccabe/logiqa', 'dataset:wiki_qa', 'dataset:metaeval/cycic_classification', 'dataset:metaeval/cycic_multiplechoice', 'dataset:metaeval/sts-companion', 'dataset:metaeval/commonsense_qa_2.0', 'dataset:metaeval/lingnli', 'dataset:metaeval/monotonicity-entailment', 'dataset:metaeval/arct', 'dataset:metaeval/scinli', 'dataset:metaeval/naturallogic', 'dataset:onestop_qa', 'dataset:demelin/moral_stories', 'dataset:corypaik/prost', 'dataset:aps/dynahate', 'dataset:metaeval/syntactic-augmentation-nli', 'dataset:metaeval/autotnli', 'dataset:lasha-nlp/CONDAQA', 'dataset:openai/webgpt_comparisons', 'dataset:Dahoas/synthetic-instruct-gptj-pairwise', 'dataset:metaeval/scruples', 'dataset:metaeval/wouldyourather', 'dataset:sileod/attempto-nli', 'dataset:metaeval/defeasible-nli', 'dataset:metaeval/help-nli', 'dataset:metaeval/nli-veridicality-transitivity', 'dataset:metaeval/natural-language-satisfiability', 'dataset:metaeval/lonli', 'dataset:tasksource/dadc-limit-nli', 'dataset:ColumbiaNLP/FLUTE', 'dataset:metaeval/strategy-qa', 'dataset:openai/summarize_from_feedback', 'dataset:tasksource/folio', 'dataset:metaeval/tomi-nli', 'dataset:metaeval/avicenna', 'dataset:stanfordnlp/SHP', 'dataset:GBaker/MedQA-USMLE-4-options-hf', 'dataset:GBaker/MedQA-USMLE-4-options', 'dataset:sileod/wikimedqa', 'dataset:declare-lab/cicero', 'dataset:amydeng2000/CREAK', 'dataset:metaeval/mutual', 'dataset:inverse-scaling/NeQA', 'dataset:inverse-scaling/quote-repetition', 'dataset:inverse-scaling/redefine-math', 'dataset:tasksource/puzzte', 'dataset:metaeval/implicatures', 'dataset:race', 'dataset:metaeval/spartqa-yn', 'dataset:metaeval/spartqa-mchoice', 'dataset:metaeval/temporal-nli', 'dataset:metaeval/ScienceQA_text_only', 'dataset:AndyChiang/cloth', 'dataset:metaeval/logiqa-2.0-nli', 'dataset:tasksource/oasst1_dense_flat', 'dataset:metaeval/boolq-natural-perturbations', 'dataset:metaeval/path-naturalness-prediction', 'dataset:riddle_sense', 'dataset:Jiangjie/ekar_english', 'dataset:metaeval/implicit-hate-stg1', 'dataset:metaeval/chaos-mnli-ambiguity', 'dataset:IlyaGusev/headline_cause', 'dataset:metaeval/race-c', 'dataset:metaeval/equate', 'dataset:metaeval/ambient', 'dataset:AndyChiang/dgen', 'dataset:metaeval/clcd-english', 'dataset:civil_comments', 'dataset:metaeval/acceptability-prediction', 'dataset:maximedb/twentyquestions', 'dataset:metaeval/counterfactually-augmented-snli', 'dataset:tasksource/I2D2', 'dataset:sileod/mindgames', 'dataset:metaeval/counterfactually-augmented-imdb', 'dataset:metaeval/cnli', 'dataset:metaeval/reclor', 'dataset:tasksource/oasst1_pairwise_rlhf_reward', 'dataset:tasksource/zero-shot-label-nli', 'dataset:webis/args_me', 'dataset:webis/Touche23-ValueEval', 'dataset:tasksource/starcon', 'dataset:tasksource/ruletaker', 'dataset:lighteval/lsat_qa', 'dataset:tasksource/ConTRoL-nli', 'dataset:tasksource/tracie', 'dataset:tasksource/sherliic', 'dataset:tasksource/sen-making', 'dataset:tasksource/winowhy', 'dataset:mediabiasgroup/mbib-base', 'dataset:tasksource/robustLR', 'dataset:CLUTRR/v1', 'dataset:tasksource/logical-fallacy', 'dataset:tasksource/parade', 'dataset:tasksource/cladder', 'dataset:tasksource/subjectivity', 'dataset:tasksource/MOH', 'dataset:tasksource/VUAC', 'dataset:tasksource/TroFi', 'dataset:sharc_modified', 'dataset:tasksource/conceptrules_v2', 'dataset:tasksource/disrpt', 'dataset:conll2000', 'dataset:DFKI-SLT/few-nerd', 'dataset:tasksource/com2sense', 'dataset:tasksource/scone', 'dataset:tasksource/winodict', 'dataset:tasksource/fool-me-twice', 'dataset:tasksource/monli', 'dataset:tasksource/corr2cause', 'dataset:tasksource/apt', 'dataset:zeroshot/twitter-financial-news-sentiment', 'dataset:tasksource/icl-symbol-tuning-instruct', 'dataset:tasksource/SpaceNLI', 'dataset:sihaochen/propsegment', 'dataset:HannahRoseKirk/HatemojiBuild', 'dataset:tasksource/regset', 'dataset:lmsys/chatbot_arena_conversations', 'dataset:tasksource/nlgraph', 'arxiv:2301.05948', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us', 'deploy:azure']","['robust', 'eval']",6581,https://huggingface.co/sileod/deberta-v3-base-tasksource-nli
gigant/romanian-wav2vec2,940292,6,apache-2.0,"['transformers', 'pytorch', 'safetensors', 'wav2vec2', 'automatic-speech-recognition', 'hf-asr-leaderboard', 'robust-speech-event', 'ro', 'dataset:mozilla-foundation/common_voice_8_0', 'dataset:gigant/romanian_speech_synthesis_0_8_1', 'base_model:facebook/wav2vec2-xls-r-300m', 'base_model:finetune:facebook/wav2vec2-xls-r-300m', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']","['robust', 'eval']",1738,https://huggingface.co/gigant/romanian-wav2vec2
intfloat/e5-large-v2,922512,265,mit,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'openvino', 'bert', 'mteb', 'Sentence Transformers', 'sentence-similarity', 'en', 'arxiv:2212.03533', 'arxiv:2104.08663', 'arxiv:2210.07316', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",['eval'],82116,https://huggingface.co/intfloat/e5-large-v2
